root	misc	adj-to-adv	adj-to-comparative	adj-to-noun	noun-to-plural	verb-to-gerund	verb-to-past-and-participle	verb-to-third-person
alexia					alexias			
alfalfa					alfalfas			
alga	algae				algas			
algebra					algebras			
algebraic								
algebraical								
algebraist					algebraists			
algerian					algerians			
algid				algidity				
algidity					algidities			
algin					algins			
algology					algologies			
algometric								
algometrical								
algonquian					algonquians			
algonquin					algonquins			
algorism					algorisms			
algorithm	algorithms				algorithms			
algorithmic		algorithmically						
alias	aliases				aliases			
alibi	alibis				alibis	alibiing	alibied	alibis
alidad					alidads			
alidade					alidades			
alien	aliens	alienly	aliener		aliens	aliening	aliened	aliens
alienage					alienages			
alienate	alienated,alienates,alienating					alienating	alienated	alienates
alienee					alienees			
alienism					alienisms			
alienist					alienists			
alienor					alienors			
alight	alighted,alighting,alights					alighting	alighted	alights
align	aligned,aligning,aligns					aligning	aligned	aligns
alignment	alignments				alignments			
aliment					aliments	alimenting	alimented	aliments
alimental		alimentally						
alimentary				alimentariness				
alimentative		alimentatively						
alimony					alimonies			
aline						alining	alined	alines
aliquot					aliquots			
alizarin					alizarins			
alkahest					alkahests			
alkalescent				alkalescence				
alkali	alkalies,alkalis				alkalies			
alkalify						alkalifying	alkalified	alkalifies
alkaline				alkalinity				
alkalinise						alkalinising	alkalinised	
alkalinity					alkalinities			
alkalinize						alkalinizing	alkalinized	alkalinizes
alkalise						alkalising	alkalised	alkalises
alkalize						alkalizing	alkalized	alkalizes
alkaloid	alkaloids				alkaloids			
alkane					alkanes			
alkanet					alkanets			
alkene					alkenes			
alky					alkies			
alkyd					alkyds			
alkyl					alkyls			
alkylbenzenesulfonate					alkylbenzenesulfonates			
alkyne					alkynes			
all			aller					
allay	allayed,allaying,allays					allaying	allayed	allays
allayer					allayers			
allegation	allegations				allegations			
allege	alleged,alleges,alleging					alleging	alleged	alleges
alleged		allegedly						
allegiance	allegiances				allegiances			
allegiant		allegiantly		allegiance				
allegoric								
allegorical								
allegorise						allegorising	allegorised	
allegorize						allegorizing	allegorized	
allegory	allegories				allegories			
allegretto					allegrettos			
allegro	allegros				allegros			
allele					alleles			
allemande					allemandes			
allergen	allergens				allergens			
allergenic				allergenicity				
allergist					allergists			
allergy	allergies				allergies			
alleviate	alleviated,alleviates,alleviating					alleviating	alleviated	alleviates
alleviation					alleviations			
alleviator					alleviators			
alley	alleys				alleys			
alleyway	alleyways				alleyways			
alliance	alliances				alliances			
alligator	alligators				alligators	alligatoring	alligatored	alligators
alligatorfish					alligatorfishes			
alliterate						alliterating	alliterated	alliterates
alliteration					alliterations			
alliterative		alliteratively						
allium					alliums			
allmouth					allmouths			
allocate	allocated,allocates,allocating					allocating	allocated	allocates
allocation	allocations				allocations			
allocator					allocators			
allodium	allodia				allodia			
allogamy					allogamies			
allomorph	allomorphs							
allopathic		allopathically						
allopathy					allopathies			
allopatric		allopatrically						
allophone	allophones				allophones			
allophonic		allophonically						
allot	allots,allotted,allotting					allotting	allotted	allots
allotment	allotments				allotments			
allotrope					allotropes			
allotropic				allotropicity				
allotropical								
allotropy					allotropies			
allow	allowed,allowing,allows					allowing	allowed	allows
allowable		allowably						
allowance	allowances				allowances	allowancing	allowanced	allowances
alloy	alloys				alloys	alloying	alloyed	alloys
allspice					allspices			
allude	alluded,alludes,alluding					alluding	alluded	alludes
allure					allures	alluring	allured	allures
allurement					allurements			
alluring		alluringly						
allusion	allusions				allusions			
allusive		allusively						
alluvion					alluvions			
alluvium	alluviums							
ally	allied,allies,allying					allying	allied	allies
allyl					allyls			
almanac	almanacs				almanacs			
almandine					almandines			
almighty		almightily		almightiness				
almond	almonds				almonds			
almoner					almoners			
alnico					alnicoes			
alodium					alodia			
aloe	aloes							
aloha					alohas			
alone		alonely						
aloof		aloofly						
alopecia					alopecias			
alpaca	alpacas				alpacas			
alpenstock					alpenstocks			
alpha					alphas			
alphabet	alphabets				alphabets			
alphabetic								
alphabetical								
alphabetise						alphabetising	alphabetised	
alphabetize	alphabetized,alphabetizes,alphabetizing					alphabetizing	alphabetized	alphabetizes
alphabetizer					alphabetizers			
alphameric								
alphamerical								
alphanumeric								
alphanumerical								
alpine	alpines	alpinely						
alpinism					alpinisms			
alpinist					alpinists			
alsatian	alsatians							
alt					alts			
altar	altars				altars			
altarpiece					altarpieces			
alter	altered,altering,alters					altering	altered	alters
alterable		alterably						
alteration	alterations				alterations			
alterative		alteratively						
altercate						altercating	altercated	
altercation	altercations				altercations			
alternate	alternated,alternates,alternating	alternately	alternater		alternates	alternating	alternated	alternates
alternating		alternatingly						
alternation	alternations				alternations			
alternative	alternatives	alternatively		alternativity	alternatives			
alternator	alternators				alternators			
althaea					althaeas			
althea					altheas			
altimeter	altimeters				altimeters			
altitude	altitudes				altitudes			
alto	altos				altos			
altocumulus	altocumuli				altocumuli			
altostratus					altostrati			
altruism					altruisms			
altruist					altruists			
altruistic		altruistically						
alula	alulae				alulae			
alum					alums			
alumina					aluminas			
aluminise						aluminising	aluminised	
aluminize						aluminizing	aluminized	aluminizes
aluminum					aluminums			
alumna	alumnae				alumnae			
alumnus	alumni				alumni			
alumroot					alumroots			
alveolar	alveolars	alveolarly			alveolars			
alveolitis					alveolites			
alveolus	alveoli				alveoli			
alyssum					alyssums			
amadavat					amadavats			
amah	amahs				amahs			
amalgam	amalgams				amalgams			
amalgamate	amalgamated,amalgamates,amalgamating		amalgamater			amalgamating	amalgamated	amalgamates
amalgamation	amalgamations				amalgamations			
amalgamator					amalgamators			
amanita					amanitas			
amanuensis	amanuenses				amanuenses			
amaranth					amaranths			
amarelle					amarelles			
amaretto					amarettos			
amarillo					amarillos			
amaryllis	amaryllises				amaryllises			
amass	amassed,amasses,amassing					amassing	amassed	amasses
amateur	amateurs				amateurs			
amateurish		amateurishly						
amative		amatively						
amaze	amazed,amazes,amazing					amazing	amazed	amazes
amazed		amazedly						
amazing		amazingly						
amazon	amazons				amazons			
ambagious		ambagiously						
ambassador	ambassadors				ambassadors			
ambassadorial		ambassadorially						
ambassadorship					ambassadorships			
amber					ambers			
amberfish					amberfishes			
amberjack					amberjacks			
ambiance					ambiances			
ambidexterity					ambidexterities			
ambidextrous		ambidextrously						
ambience	ambiences				ambiences			
ambient				ambience				
ambiguity	ambiguities				ambiguities			
ambiguous		ambiguously						
ambit					ambits			
ambition	ambitions				ambitions	ambitioning	ambitioned	ambitions
ambitionless		ambitionlessly						
ambitious		ambitiously						
ambivalent		ambivalently		ambivalence				
amble	ambled,ambles,ambling				ambles	ambling	ambled	ambles
ambler					amblers			
ambo	ambones,ambos				ambos			
amboyna					amboynas			
ambrosia					ambrosias			
ambrosial		ambrosially						
ambulacrum	ambulacra				ambulacra			
ambulance	ambulances				ambulances			
ambulant				ambulance				
ambulate						ambulating	ambulated	ambulates
ambulatory		ambulatorily			ambulatories			
ambuscade					ambuscades	ambuscading	ambuscaded	ambuscades
ambush	ambushed,ambushes,ambushing				ambushes	ambushing	ambushed	ambushes
ambusher					ambushers			
ameba					amebae			
ameer					ameers			
ameliorate	ameliorated,ameliorates,ameliorating					ameliorating	ameliorated	ameliorates
amelioration					ameliorations			
ameliorative		amelioratively						
amen					amens			
amenable		amenably						
amend	amended,amending,amends					amending	amended	amends
amendment	amendments				amendments			
amenity	amenities							
ament					aments			
amentia					amentias			
amerasian	amerasians							
amerce						amercing	amerced	amerces
amercement					amercements			
america					americas			
american	americans	americanly			americans			
americanism	americanisms				americanisms			
americanize	americanized,americanizes,americanizing					americanizing	americanized	americanizes
americano	americanos							
amerind					amerinds			
amerindian	amerindians				amerindians			
amethyst	amethysts				amethysts			
ami	amis							
amia					amias			
amiable		amiably						
amicability					amicabilities			
amicable		amicably						
amide					amides			
amie	amies							
amigo	amigos				amigos			
amine					amines			
amir					amirs			
amitosis					amitoses			
amitotic		amitotically						
amity					amities			
ammeter					ammeters			
ammine					ammines			
ammo					ammos			
ammonia					ammonias			
ammoniac					ammoniacs			
ammoniate						ammoniating	ammoniated	
ammonify						ammonifying	ammonified	ammonifies
ammonite	ammonites				ammonites			
ammonium					ammoniums			
ammonoid					ammonoids			
amnesia					amnesias			
amnesiac	amnesiacs				amnesiacs			
amnesic					amnesics			
amnesty	amnesties				amnesties	amnestying	amnestied	amnesties
amniocentesis	amniocenteses				amniocenteses			
amnion	amnia				amnia			
amniote					amniotes			
amoeba	amoebae,amoebas				amoebae			
amoebiasis					amoebiases			
amon					ama			
amontillado	amontillados				amontillados			
amora					amoraim			
amoretto	amoretti				amoretti			
amorino					amorini			
amorist					amorists			
amorous		amorously						
amorphous		amorphously						
amortise						amortising	amortised	amortises
amortization	amortizations							
amortize	amortized,amortizes,amortizing					amortizing	amortized	amortizes
amount	amounted,amounting,amounts				amounts	amounting	amounted	amounts
amour	amours				amours			
amp	amps				amps			
amperage					amperages			
ampere	amperes				amperes			
ampersand	ampersands				ampersands			
amphetamine	amphetamines				amphetamines			
amphiarthrosis					amphiarthroses			
amphibian	amphibians				amphibians			
amphibious		amphibiously						
amphibole					amphiboles			
